-42.4913 -22.3158 3.55049  1 0
5.95918 5.61456 16.7142  1 1
12.8983 8.89749 27.8487  1 2
12.7737 -4.09911 28.1101  1 3
4.97589 -3.92193 16.0222  1 4
-50.7259 -13.8329 8.18779  1 5
-13.0776 -5.0032 23.3313  1 6
-12.6578 3.17768 44.3275  1 7
-5.13554 -11.3097 25.4461  1 8
-20.1136 -5.83973 15.9681  1 9
-23.7841 -21.0848 12.8719  1 10
3.46921 2.96834 24.1671  1 11
-21.3253 3.16208 22.8394  1 12
-14.4566 -18.3863 13.7075  1 13
-5.8593 -15.0291 29.914  1 14
9.78476 -10.9238 24.2266  1 15
11.2181 -9.49317 28.0946  1 16
-5.20124 4.27709 25.823  1 17
0.549562 -2.39535 22.8827  1 18
-17.2451 3.22732 19.4824  1 19
7.89914 -1.07265 30.7461  1 20
14.877 -1.10859 33.2289  1 21
16.4362 -11.9001 32.2775  1 22
-2.25662 -5.21247 12.655  1 23
-31.7573 7.33254 13.7958  1 24
-9.00725 2.48077 25.1138  1 25
4.9171 2.38704 20.4075  1 26
-17.0674 -8.13943 43.9543  1 27
-3.00616 2.8733 15.6802  1 28
-4.38953 -8.45227 20.8591  1 29
-22.1954 2.41449 20.174  1 30
-43.0678 -18.2818 35.1144  1 31
-23.6135 -12.651 24.2071  1 32
-4.33678 -8.42264 19.7343  1 33
26.349 -6.36537 35.9102  1 34
5.4768 7.4565 38.6731  1 35
1.66402 9.26118 20.9782  1 36
-29.4759 7.00524 6.80124  1 37
-16.7113 -1.15063 28.6786  1 38
-1.00275 -2.41847 31.6423  1 39
-10.8325 -2.58776 28.5805  1 40
4.0616 -7.33823 30.3143  1 41
-24.483 -8.46761 5.39228  1 42
-12.4313 5.22416 23.4137  1 43
7.05902 8.75628 24.1755  1 44
-6.96732 -29.3147 32.344  1 45
-11.3498 -13.115 24.2706  1 46
2.93267 -0.277294 18.5401  1 47
9.5172 11.953 25.0671  1 48
-10.7887 7.01191 27.7444  1 49
-12.4159 -7.93125 15.0591  1 50
-31.2897 -19.2672 21.2623  1 51
15.0986 -8.98832 32.1343  1 52
4.25187 -19.4395 29.1267  1 53
0.354313 13.1829 32.6171  1 54
0.138422 -2.50962 21.6135  1 55
4.13152 -0.216473 25.2608  1 56
16.1346 8.59697 31.1187  1 57
-30.2942 0.799779 9.1399  1 58
-38.0094 -22.1081 5.80764  1 59
-20.2355 -0.224944 45.7524  1 60
14.0057 0.127523 27.6378  1 61
0.0897822 -9.67316 19.4312  1 62
2.28118 -10.113 32.6737  1 63
-15.5364 -14.7683 22.1794  1 64
-21.4656 -15.9281 27.1207  1 65
-34.2229 -16.6038 13.7348  1 66
-6.42133 -5.47882 34.9869  1 67
-13.3519 -13.3465 13.4235  1 68
14.4143 3.22272 30.2402  1 69
-21.9759 5.00702 22.2654  1 70
7.91442 -7.85972 37.2818  1 71
17.9993 -8.17828 59.666  1 72
6.97419 -14.2398 21.1959  1 73
-28.6237 -11.0132 19.1039  1 74
10.6097 -9.54837 33.1585  1 75
6.21938 -10.5297 22.151  1 76
-14.349 -4.80838 18.9245  1 77
-14.1277 8.85902 32.3605  1 78
-23.0154 -0.710906 28.0859  1 79
12.7154 -2.88137 26.7883  1 80
-18.8681 -5.13354 14.1349  1 81
-6.68744 -4.83754 24.1729  1 82
7.07741 -16.7472 29.4593  1 83
-16.2024 10.5835 40.6101  1 84
-15.9035 -18.7183 12.3988  1 85
-43.9092 -15.6647 18.3794  1 86
-2.47427 0.731838 22.8401  1 87
-23.8688 -5.51492 39.7723  1 88
-1.77777 -13.576 19.8315  1 89
-22.9585 -0.11779 5.38884  1 90
-6.68295 -5.99004 32.7599  1 91
2.73034 -9.30213 37.9864  1 92
-23.4972 -6.47742 6.81842  1 93
-30.6505 -14.9599 23.864  1 94
-12.1691 5.41555 58.5793  1 95
-36.0635 3.62431 9.60552  1 96
-13.7483 -7.02938 21.8938  1 97
-0.195186 -20.0912 26.6124  1 98
-40.687 -9.60356 4.57612  1 99
7.68602 -8.24024 32.9222  1 100
-2.78838 -7.86216 22.0727  1 101
-36.1888 0.782083 41.5827  1 102
-11.3863 -11.5163 21.307  1 103
-11.4259 -7.49634 22.1078  1 104
-18.7676 -0.310129 21.7524  1 105
-18.0025 -5.28379 11.9717  1 106
-18.4608 -16.4507 9.24382  1 107
-30.1763 -12.9539 14.1839  1 108
-20.3748 -8.60981 13.4337  1 109
-26.5633 -29.1186 16.0221  1 110
-22.5545 -11.3767 24.1762  1 111
-35.9067 -19.263 12.3433  1 112
-20.5059 -8.41809 15.5175  1 113
-34.1176 -27.6037 21.055  1 114
-33.3749 -19.7302 26.4024  1 115
-34.7951 -3.999 23.0545  1 116
-48.5325 -19.2298 30.8511  1 117
-29.3928 -6.15327 22.2317  1 118
-23.3636 -14.3842 19.626  1 119
-49.1377 -8.79245 19.412  1 120
-39.8918 -3.03415 22.209  1 121
-41.8551 -34.0691 14.6121  1 122
-42.5622 -37.3902 21.9442  1 123
-51.2875 -28.4705 31.2261  1 124
-41.3186 -10.8143 22.6806  1 125
-37.9004 -16.7024 24.7794  1 126
-43.7005 -32.2255 -0.566469  1 127
-36.8906 0.164716 25.6265  1 128
-39.6075 -15.0569 14.255  1 129
-38.5909 -15.6064 29.6366  1 130
-51.3793 -29.9184 26.8872  1 131
-57.8106 -13.5867 5.94197  1 132
-54.1001 2.94901 16.7697  1 133
-28.9033 -13.406 14.0179  1 134
-39.6631 -1.93505 9.68401  1 135
-44.6767 -21.6309 22.4645  1 136
-55.7625 -20.6343 21.4249  1 137
-36.6385 -10.3057 14.2743  1 138
-41.9757 -11.7736 28.2112  1 139
-47.3355 -11.1272 31.3605  1 140
-75.5149 -16.3199 7.45958  1 141
-42.5512 -23.3987 5.52815  1 142
-43.7427 -18.4621 26.8039  1 143
-47.1374 -15.6951 13.0778  1 144
-45.6651 -1.13352 24.1952  1 145
-61.9256 -7.14401 24.5053  1 146
-51.4749 -7.27677 22.5287  1 147
-57.3504 -22.8148 14.849  1 148
-34.7263 -15.6861 16.3131  1 149
-45.4664 -6.30183 10.6808  1 150
-82.4138 2.11169 11.4019  1 151
-52.7309 -12.0696 28.2145  1 152
-48.4475 -10.7791 20.3144  1 153
-64.9373 -8.86513 19.4846  1 154
-58.3252 -30.6673 -5.45905  1 155
-68.5677 -15.2251 14.5406  1 156
-51.6027 -9.10533 1.49775  1 157
-44.8729 -16.5037 18.3553  1 158
